rank,address,amount
43,0x247bfe62c3c254a8d1e88da9e90374bdc1a9c51c7e2a2726575fcdb03ab3b7ed,578025000000
44,0xceaaf829d675508b9e4d263d02bfa10b8e93866b98e791ea618af1f201378854,550253550000
45,0x8c6c726b8feff5c37aa5cb25462448d406b3b3ec75c36d31d773c56167c36114,544950000000
46,0xe71f0ad34755962a51edc490281d649a1bbb80099181c3b4aaf7ba4ebb4443c5,535825500000
47,0xcd5ca8ad848efc32bc5e93e3f02cdd07c9abf4ba03294f08979c660e193e37d7,525000000000
48,0xaf2499c436d2a132dcdb56e0fde8b63a3e27f71d7b5cc716c7c8aa445de4e926,523950000000
49,0xb099788fddc9346a7477dbe8e84260a5dfc5fbe09117a3bdccac486b0e6c0cee,507150000000
50,0x6ff7d5c73530ad7c642952173ac8d01dfd3a0ac642c18cfff63338ff8fe4fcfb,504000000000
51,0x9a68eb6ac52c9ed2ca32f3bfda84c3cc7389482138d228bc1d487fed797654df,472500000000
52,0x60abbff7388df70e7640afcddc77a0f64b6de4d7eefbc43cb88d9a2839853af7,472500000000
53,0x8ee77a9220ff772926f4c635a814fff71fd5c8171a9661840172b6991e7c79b1,467628000000
54,0x7d58547605aa6fec72d78a1a1254d6b27e22fd51a73d6a0749bcc8924541fac1,388778250000
55,0x1ea54729e9816bb2c16b9de478acfada544b12376d7b2d4f72955cbed5a8ca4e,382211550000
56,0x1995cc97fc87a18e72dcce07237a19ebc75b46fbee8858cb7e83ec0f1df47a60,373054500000
57,0xc50bd0642a51f31423b271d2ac1c362f1db43d1ecc235da19eff38caeb5df37d,364276500000
58,0x42e0e76cee42a7d2fb1112c98a57b92da1172f6af0dbcef690c5bbe5c127adc4,352590000000
59,0xbd752c104e86ac00eda1e52542db6a8039d9865885dc523ef4200c2f7328c75d,347970000000
60,0x03c76999ffff702896f5fb749f53f62f8dca7d9b3a5842a9da1ec595feb5905c,343910000000
61,0xbeb47cf10675213b1b957bf268507ab638efb0d01ddb41993f0395eac55bddaf,303792510000
62,0xc6818e6dce720e55f153c35f742293aa28b7c3043f95b398ea5430a72d62f4dd,300300000000
63,0xb0d09c108fb6a801b1e32dd2b5c841a35be2a6bd324e7eb3abfff7fc83afd9a2,291690000000
64,0xfcbc2b46869e3204b56dcb2c5b7f0893d69ede0b6df7273b0743d4012e25e626,286734000000
65,0x8627958aeede57dbeddfa4ec9d47c253c92f98de4b723138dc015b48b690ab95,284025000000
66,0xb86abb89be148e785057784215a7dbdffed2b8b1d0a7bdd8e177080237640105,278250000000
67,0x49a64887b6d74042cc94c031e0136b2cbac8e5e696f5c231bbc048a359933804,268000000000
68,0x8f5536e0273ed34f5902371146aa177f6f34101980b8c6e1ffc4c74096f300d7,263655000000
69,0xc9301b14977027abe3a9927aec8b0a7654d5ea790c5309fb7ff8f7d379258473,262500000000
70,0x60449c25ffbaf24c804549490541b21976f65ee9b1a49acc64cd75cf6bcb32c0,261775500000
71,0xa37eb3abec9142f408c062c456a824cc1ea35f8fc9d6e4ffbf7bdb246e9d9758,261691500000
72,0x08b8700a6cf6a41835de61163f8dd55bccbcd9e8ed3150079b3feb8513c3e221,253911000000
73,0x302ee612c04eec12286bf2f0d10f99a11cfe95bbcbc5d95b3092b798237103c7,250950000000
74,0xf07f739bbc0a066db42e0ac33fbd0fe6322c3802fa47c06dbd652984f46f163b,248296650000
75,0x595e8026aadfe0bc1cba7553a7ecc6e207903be25a530f814dbd5691ad3d68b3,246760500000
76,0x057d1ad775784a7cd538f89eb66260df52b797e474e09758c62d68be99878fa7,245700000000
77,0xbd2ab36c4a5d0930d49c48f0f6adee6b9eb7c971451ce8d3b75f93151d664950,237626550000
